id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2309,Greenview Design Apartment,2522,Chris,,Leopoldstadt,48.202813679393685,16.40435290953106,Entire home/apt,80,4,66,2018-06-03,0.62,1,338
15883,b&b near Old Danube river,62142,Eva,,Donaustadt,48.241436272861215,16.42811755135127,Private room,85,1,9,2018-01-03,0.19,5,287
38768,central cityapartement- wifi- nice neighbourhood,166283,Hannes,,Leopoldstadt,48.2182253872144,16.379255400798087,Entire home/apt,65,3,271,2019-01-05,2.82,2,129
40625,"Near Palace Schönbrunn, Apt. 1",175131,Ingela,,Rudolfsheim-Fnfhaus,48.1848619764605,16.327400884498008,Entire home/apt,99,1,128,2019-01-07,1.23,13,291
51287,little studio- next to citycenter- wifi- nice area,166283,Hannes,,Leopoldstadt,48.21851376328395,16.377809563991573,Entire home/apt,60,3,243,2019-01-08,2.48,2,146
62736,LUXURY DESIGN HOME ViENNA,305673,Sil,,Alsergrund,48.22586803158709,16.364453255125657,Entire home/apt,160,3,19,2017-04-23,0.19,9,363
70568,apartment2rent - UNO City - Danube,358163,Georg,,Donaustadt,48.222242036901726,16.424604254269774,Entire home/apt,59,3,10,2016-10-03,0.10,5,365
70637,Flat in the Center with Terrace,358842,Elxe,,Leopoldstadt,48.21781405806588,16.380227523979478,Private room,50,2,102,2018-12-22,1.06,3,0
75471,nice big apartment with balcony,363315,Wolfgang,,Ottakring,48.22227366610231,16.31539773782148,Entire home/apt,74,3,50,2019-01-02,0.55,1,0
75500,Lovely Viennese apartment (2-4 p.),400857,Sabine,,Brigittenau,48.23500169547147,16.36614364073317,Entire home/apt,70,4,13,2018-12-15,0.14,1,363
78416,Just renovated - Nice Apartment in Vienna center,421075,Peter,,Rudolfsheim-Fnfhaus,48.19951921429907,16.330749555516665,Entire home/apt,55,1,159,2018-09-08,1.66,1,0
90247,Beautiful New Central Apartment ,489611,Diana,,Neubau,48.20413612928587,16.351219757420974,Entire home/apt,98,1,501,2019-01-25,5.27,2,224
98210,CIty Center Room with Private Shower,518644,Michael,,Margareten,48.19491251315253,16.360793125765603,Private room,32,1,45,2019-01-23,0.48,51,80
107439,2 minutes to the State Opera House full of light!,518644,Michael,,Margareten,48.19402664720624,16.35991347956133,Entire home/apt,50,1,97,2019-01-16,1.05,51,286
109679,"Near Palace Schönbrunn, Apt. 4",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18444718719854,16.328974740792077,Entire home/apt,59,1,103,2019-01-07,1.23,13,260
111059,"Modern Apartment, 10min to the City",569644,Kateryna,,Hernals,48.21999051272155,16.33303691355204,Entire home/apt,58,3,106,2018-12-31,1.14,3,233
114505,"Near Palace Schönbrunn, Apt. 5",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18478956103866,16.326199049867125,Entire home/apt,59,1,100,2019-01-03,1.07,13,320
